date,description,amount,category,merchant
2024-03-30,CULT FIT MUMBAI IN,842.04,health,CULT FIT
2024-04-10,CLOVE DENTAL GURGAON IN,1590.08,health,CLOVE DENTAL
2024-06-24,AIRPORT TAXI PREPAID GURGAON IN,401.99,travel,AIRPORT TAXI PREPAID
2024-06-01,SWIGGY INTERNET 281489,367.99,food,SWIGGY
2024-02-04,UPI/HDFC ERGO INSURANCE/622169,3112.06,bills,HDFC ERGO INSURANCE
2024-01-28,NACH/RASHA GAS/41756168,1158.95,bills,RASHA
2024-06-28,POS BRINESHA WELLNESS,6318.95,health,BRINESHA
2024-03-02,BOOKMYSHOW*6437490,216.18,entertainment,BOOKMYSHOW
2024-05-12,IMPS/506306636050/OWNER RENT PAYMENT/ICIC,27774.43,rent,OWNER RENT PAYMENT
2024-04-14,UPI/DR/888143111508/DELHI METRO SMART CARD/SBIN/delhi@paytm,708.66,travel,DELHI METRO SMART CARD
2024-06-12,BILLPAY/KALU GAS/82642951,722.77,bills,KALU
2024-01-17,UPI/DR/402422241983/TEKBRI SUPERMARKET/HDFC/tekbri@ibl,200.83,food,TEKBRI
2024-01-03,UPI-PRAMI FEES-prami@ibl-574396770546,1584.05,other,PRAMI
2024-02-13,UPI/ZEE5/139488,390.67,entertainment,ZEE5
2024-03-12,POS/BIGBASKET BENGALURU,2175.59,food,BIGBASKET
2024-03-31,VIGAN GAMES PUNE IN,2218.81,entertainment,VIGAN
2024-05-09,ECS YOUTUBE PREMIUM 481700,171.27,entertainment,YOUTUBE PREMIUM
2024-05-22,THYROCARE INTERNET 879788,581.47,health,THYROCARE
2024-04-03,BILLPAY/LUPE WATER BILL/70098416,959.84,bills,LUPE
2024-05-21,POS/SHAHA DENTAL BENGALURU,3010.57,health,SHAHA
2024-04-24,UPI-BMTC BUS PASS-bmtc@okhdfcbank-916032484137,1187.85,travel,BMTC BUS PASS
2024-01-20,UPI-PRAMI FEES-prami@paytm-780095804014,740.2,other,PRAMI
2024-06-11,ACH DEBIT PROPERTY TAX JUN,10560.27,bills,PROPERTY TAX
2024-04-20,NACH/HOTSTAR/05973642,449.05,entertainment,HOTSTAR
2024-01-25,UPI/ATM CASH WITHDRAWAL/284423/UTIB,1193.88,other,ATM CASH WITHDRAWAL
2024-03-19,IMPS/269420398313/SOCIETY MAINTENANCE/KKBK,1567.6,rent,SOCIETY MAINTENANCE
2024-02-26,UPI/DR/540165995300/ASTER CLINIC/PUNB/aster@okhdfcbank,1763.51,health,ASTER CLINIC
2024-06-09,WESTSIDE MUMBAI IN,712.14,shopping,WESTSIDE
2024-03-20,ECS TATA PLAY 670866,833.68,bills,TATA PLAY
2024-06-02,UPI/HOTEL SAGAR RESTAURANT/066984/HDFC,618.57,food,HOTEL SAGAR RESTAURANT
2024-04-01,UPI/DR/692325727346/RAMIPE SIP/ICIC/ramipe@ibl,552.16,other,RAMIPE
2024-02-06,BILLPAY/ADANI ELECTRICITY/96359570,5745.75,bills,ADANI ELECTRICITY
2024-01-26,POS PRAKA CAFE,1873.46,food,PRAKA
2024-04-19,NIKE STORE DELHI IN,8662.0,shopping,NIKE STORE
2024-02-07,PG*SORA JEWELLERS*42330080,14106.11,shopping,SORA
2024-02-13,UPI/DR/835058300335/CHAI POINT/UTIB/chai@okhdfcbank,149.32,food,CHAI POINT
2024-06-22,POS 7280 INOX MOVIES BENGALURU,370.86,entertainment,INOX MOVIES
2024-04-23,UPI/CLOVE DENTAL/851622,2174.4,health,CLOVE DENTAL
2024-03-26,UPI/BANK CHARGES/722883/HDFC,17.17,other,BANK CHARGES
2024-04-18,UPI/PRASOJO PETROL PUMP/985372/HDFC,5040.42,travel,PRASOJO
2024-06-01,INDANE GAS ONLINE 49812831,850.03,bills,INDANE GAS
2024-02-15,POS FORTIS HOSPITAL,23442.02,health,FORTIS HOSPITAL
2024-06-20,POS 6027 NOLU HEALTH DELHI,4854.99,health,NOLU
2024-05-14,UPI-CRED RENT PAYMENT-cred@paytm-231654413727,24887.04,rent,CRED RENT PAYMENT
2024-05-12,UPI/HOUSE RENT/076642,26276.61,rent,HOUSE RENT
2024-06-13,UPI/DR/573762426622/GANHA CABS/KKBK/ganha@paytm,359.37,travel,GANHA
2024-03-08,NEFT-59624587012-PG ACCOMMODATION FEE-HDFC,14288.67,rent,PG ACCOMMODATION FEE
2024-04-15,POS MANIPAL HOSPITAL,15145.21,health,MANIPAL HOSPITAL
2024-06-15,FASTAG RECHARGE BENGALURU IN,1046.8,travel,FASTAG RECHARGE
2024-04-15,UPI/PRATEK STREAMING/486741,1477.27,entertainment,PRATEK
2024-04-06,UPI/OYO ROOMS/450864/HDFC,1077.88,travel,OYO ROOMS
2024-02-19,UPI/INDIGO AIRLINES/937618,5206.13,travel,INDIGO AIRLINES
2024-06-10,JIO RECHARGE INTERNET 551562,877.67,bills,JIO RECHARGE
2024-06-27,TEKGANTEK MOVIES ONLINE 81301494,925.25,entertainment,TEKGANTEK
2024-06-10,NEFT-17328951456-HOSTEL FEE-SBIN,4082.03,rent,HOSTEL FEE
2024-02-12,POS HOTSTAR,762.83,entertainment,HOTSTAR
2024-05-14,POS 8602 HANEPRA WELLNESS GURGAON,1724.4,health,HANEPRA
2024-06-29,UPI/DR/096085874951/AMAZON PRIME/YESB/amazon@oksbi,567.66,entertainment,AMAZON PRIME
2024-04-25,PRACTO CONSULTATION INTERNET 842859,302.53,health,PRACTO CONSULTATION
2024-06-17,UPI-ZERODHA BROKING-zerodha@paytm-782337209451,9867.68,other,ZERODHA BROKING
2024-02-27,POS 0037 DOMINOS PIZZA DELHI,519.88,food,DOMINOS PIZZA
2024-04-09,UPI/ASTER CLINIC/848860/HDFC,2235.94,health,ASTER CLINIC
2024-04-05,POS SOGANVI HOSPITAL,6104.86,health,SOGANVI
2024-06-20,POS 8316 DR LAL PATHLABS KOLKATA,1910.79,health,DR LAL PATHLABS
2024-05-08,UPI/KAJOSO INVESTMENTS/639846,15492.85,other,KAJOSO
2024-02-23,ECS DAJOLU GAS 624554,7864.94,bills,DAJOLU
2024-06-10,UPI-INDANE GAS-indane@oksbi-389633761851,865.66,bills,INDANE GAS
2024-05-08,NACH/ADANI ELECTRICITY/32109720,5140.47,bills,ADANI ELECTRICITY
2024-06-28,UPI/DIVYA PATEL/734497,1392.77,other,P2P
2024-06-03,UPI/CAFE COFFEE DAY/814124/BARB,428.66,food,CAFE COFFEE DAY
2024-03-02,UPI/MUTUAL FUND SIP/977726/KKBK,11039.05,other,MUTUAL FUND SIP
2024-06-04,INOX MOVIES*5677722,735.92,entertainment,INOX MOVIES
2024-03-15,UPI/KAVITA REDDY/SENT/450521,103.97,other,P2P
2024-02-16,POS/STARBUCKS KOLKATA,386.01,food,STARBUCKS
2024-05-15,UPI/DR/645028231342/FUND TRANSFER/BARB/fund@paytm,14539.24,other,FUND TRANSFER
2024-04-26,UPI/DR/351102693955/SHASOTEK CASH WITHDRAWAL/SBIN/shasotek@okhdfcbank,3540.06,other,SHASOTEK
2024-06-04,ACH D- TATA POWER-25892225,1183.18,bills,TATA POWER
2024-01-13,ACH DEBIT MSEDCL SEP,5075.66,bills,MSEDCL
2024-05-26,UPI/DEEPAK BOSE/GIFT/502423,677.87,other,P2P
2024-06-26,PG*AIR INDIA*11241272,3143.74,travel,AIR INDIA
2024-01-08,UPI/DR/326598450337/SHANO INVESTMENTS/HDFC/shano@axl,12363.31,other,SHANO
2024-02-18,UPI/DR/753040531984/GANSO CASH WITHDRAWAL/YESB/ganso@ybl,4894.27,other,GANSO
2024-03-10,POS/WONDERLA BENGALURU,1048.36,entertainment,WONDERLA
2024-05-03,UPI-FASTAG RECHARGE-fastag@ibl-435537950209,500.41,travel,FASTAG RECHARGE
2024-05-25,UPI/RELIANCE FRESH/725135/KKBK,425.82,food,RELIANCE FRESH
2024-02-08,UPI/DR/199643385324/ACT FIBERNET/BARB/act@okhdfcbank,1721.34,bills,ACT FIBERNET
2024-02-27,POS TEKTOVA FOOTWEAR,2335.04,shopping,TEKTOVA
2024-06-29,UPI/MIJOVA BAKERY/018639,1031.55,food,MIJOVA
2024-04-13,ACH D- PROPERTY TAX-05110212,11400.22,bills,PROPERTY TAX
2024-02-16,POS/THYROCARE MUMBAI,615.53,health,THYROCARE
2024-06-29,UPI/DR/491165020002/DR LAL PATHLABS/UTIB/dr@paytm,1047.26,health,DR LAL PATHLABS
2024-01-26,NACH/SPOTIFY INDIA/98334233,62.04,entertainment,SPOTIFY INDIA
2024-06-06,POS/BLINKIT GURGAON,253.9,food,BLINKIT
2024-01-31,UPI-PRAPENO RAILWAY-prapeno@ybl-390984685606,3607.65,travel,PRAPENO
2024-02-07,POS CROMA ELECTRONICS,56263.3,shopping,CROMA ELECTRONICS
2024-01-28,UPI-SHREE SAI SWEETS-shree@ibl-659916247314,173.73,food,SHREE SAI SWEETS
2024-03-06,IRCTC KOLKATA IN,2178.22,travel,IRCTC
2024-02-12,POS 9206 FORTIS HOSPITAL MUMBAI,2655.1,health,FORTIS HOSPITAL
2024-01-29,ACH DEBIT BSNL JUN,159.97,bills,BSNL
2024-06-17,POS 3060 DECATHLON SPORTS KOLKATA,422.46,shopping,DECATHLON SPORTS
2024-01-28,PG*PEHAJO ELECTRONICS*62745116,1432.07,shopping,PEHAJO
2024-05-13,ACH D- CREDIT CARD BILL PAYMENT-91141600,14762.19,bills,CREDIT CARD BILL PAYMENT
2024-04-18,UPI/NOBROKER RENT PAY/461209/PUNB,9783.27,rent,NOBROKER RENT PAY
2024-03-05,AMAZON PRIME ONLINE 94725878,1030.68,entertainment,AMAZON PRIME
2024-04-16,UPI/JONEPE FOOTWEAR/406714,6865.77,shopping,JONEPE
2024-02-03,POS/RELIANCE DIGITAL PUNE,5865.07,shopping,RELIANCE DIGITAL
2024-03-10,POS/NIKE STORE BENGALURU,3633.26,shopping,NIKE STORE
2024-04-04,UPI/HOUSE RENT/273961/KKBK,18479.44,rent,HOUSE RENT
2024-05-07,UBER INDIA INTERNET 849830,228.18,travel,UBER INDIA
2024-06-02,UPI/P2A/183213054284/SURESH NAIR/ICIC,1252.28,other,P2P
2024-04-02,TIMEZONE ARCADE ONLINE 85379821,1715.14,entertainment,TIMEZONE ARCADE
2024-01-20,UPI/GANRABRI THEATRE/663565/UTIB,2475.23,entertainment,GANRABRI
2024-01-07,POS/HAVI ELECTRONICS MUMBAI,9255.46,shopping,HAVI
2024-06-23,TATA CLIQ KOLKATA IN,1977.27,shopping,TATA CLIQ
2024-01-06,POS 6177 FORTIS HOSPITAL KOLKATA,6215.66,health,FORTIS HOSPITAL
2024-02-13,POS RELIANCE FRESH,1613.23,food,RELIANCE FRESH
2024-06-28,ECS ACT FIBERNET 349339,1016.4,bills,ACT FIBERNET
2024-01-24,POS TIMEZONE ARCADE,342.91,entertainment,TIMEZONE ARCADE
2024-01-31,UPI/DR/883565179624/CLOVE DENTAL/HDFC/clove@oksbi,1062.63,health,CLOVE DENTAL
2024-04-22,UPI/MEERA DESAI/147955,6456.26,other,P2P
2024-05-02,DAZIGAN SWEETS*8741148,1388.56,food,DAZIGAN
2024-01-25,UPI/PRACTO CONSULTATION/835669/YESB,1469.28,health,PRACTO CONSULTATION
2024-06-24,POS 7213 NYKAA MUMBAI,3749.1,shopping,NYKAA
2024-03-19,UPI-HANEPRA MEDICALS-hanepra@axl-343449975858,3868.65,health,HANEPRA
2024-01-06,UPI/LOCAL KIRANA STORE/833884,84.91,food,LOCAL KIRANA STORE
2024-03-23,UPI/TORA FURNITURE/830342,3552.31,shopping,TORA
2024-04-13,BBPS/JIO RECHARGE/8606739834,371.0,bills,JIO RECHARGE
2024-02-09,POS 6093 FLIPKART KOLKATA,1741.09,shopping,FLIPKART
2024-03-14,UPI/ZERODHA BROKING/375398/ICIC,26286.44,other,ZERODHA BROKING
2024-02-24,UPI/DR/176604568939/PEGAN RENT/YESB/pegan@ybl,12220.02,rent,PEGAN
2024-03-01,UPI/LOLLAPALOOZA TICKETS/925295,7109.88,entertainment,LOLLAPALOOZA TICKETS
2024-01-20,REDBUS CHENNAI IN,506.2,travel,REDBUS
2024-03-07,UPI/SNEHA NAIR/602695,6011.29,other,P2P
2024-03-16,ACH DEBIT MSEDCL JAN,4907.05,bills,MSEDCL
2024-05-14,BBPS/HASHATEK PREMIUM/1559030819,4360.96,bills,HASHATEK
2024-06-22,UPI/HALDIRAMS/135569/HDFC,895.64,food,HALDIRAMS
2024-03-05,PESO MUSIC PUNE IN,629.55,entertainment,PESO
2024-06-26,HAVI APPAREL*9141939,304.54,shopping,HAVI
2024-02-08,POS GANJOTEK WELLNESS,7146.18,health,GANJOTEK
2024-05-13,AIRPORT TAXI PREPAID INTERNET 551076,792.85,travel,AIRPORT TAXI PREPAID
2024-03-21,GOIBIBO*3898881,4109.8,travel,GOIBIBO
2024-03-26,UPI-DOMINOS PIZZA-dominos@ibl-889373467065,816.86,food,DOMINOS PIZZA
2024-06-16,UPI-ICICI PRUDENTIAL-icici@okhdfcbank-259007397130,3669.74,bills,ICICI PRUDENTIAL
2024-05-14,IMPS/609417502413/PRATEKRA PG RENT/HDFC,2248.34,rent,PRATEKRA
2024-02-08,AMAZON PAY INDIA*7830999,1350.81,shopping,AMAZON PAY INDIA
2024-02-20,UPI/ROHAN RAO/GIFT/148533,5367.3,other,P2P
2024-04-12,PENONE WELLNESS HYDERABAD IN,5730.25,health,PENONE
2024-02-24,IKEA PUNE IN,9319.75,shopping,IKEA
2024-04-23,UPI-DAHAVA MUSIC-dahava@oksbi-900536693327,329.42,entertainment,DAHAVA
2024-06-30,UPI/MINE CHARGES/482746/SBIN,6684.12,other,MINE
2024-01-16,UPI-ASTER CLINIC-aster@oksbi-942046648966,1069.81,health,ASTER CLINIC
2024-02-05,UPI/CAFE COFFEE DAY/592962/ICIC,467.3,food,CAFE COFFEE DAY
2024-05-18,UPI/HAPRATO INVESTMENTS/861498/UTIB,2175.14,other,HAPRATO
2024-02-07,UPI/ARJUN SINGH/PAYMENT/107932,1958.43,other,P2P
2024-05-26,CHAI POINT DELHI IN,228.29,food,CHAI POINT
2024-03-25,UPI/DR/090797727810/PEPPERFRY/KKBK/pepperfry@ybl,29260.18,shopping,PEPPERFRY
2024-03-10,UPI/ANNUAL CARD FEE/673481,857.22,other,ANNUAL CARD FEE
2024-01-30,UPI-GROWW SIP-groww@ybl-577719619971,5379.62,other,GROWW SIP
2024-06-21,UPI/P2A/225393922425/MEERA RAO/BARB,1499.92,other,P2P
2024-06-25,UPI-SHANO FEES-shano@paytm-298388201514,5447.27,other,SHANO
2024-05-16,POS 2424 AJIO BENGALURU,2666.01,shopping,AJIO
2024-03-14,UPI/VIKRAM DESAI/383844,3194.05,other,P2P
2024-01-19,UPI/DR/910430068486/ZEPTO/PUNB/zepto@axl,411.27,food,ZEPTO
2024-03-29,POS PIZZA HUT,370.75,food,PIZZA HUT
2024-04-04,UPI/TEKBRI COFFEE/947651,1337.63,food,TEKBRI
2024-03-04,NEFT-52089831873-SHATEK LEASE-HDFC,2288.82,rent,SHATEK
2024-05-09,UPI/DR/490376474769/PESO GAMING/YESB/peso@axl,1025.48,entertainment,PESO
2024-03-20,NEFT-03982218039-APARTMENT ASSOCIATION-PUNB,4215.36,rent,APARTMENT ASSOCIATION
2024-02-03,UPI/NETMEDS/170646/ICIC,1875.45,health,NETMEDS
2024-01-13,PG*NETMEDS*42877383,1156.35,health,NETMEDS
2024-03-24,UPI/VODAFONE IDEA/740913,240.74,bills,VODAFONE IDEA
2024-04-21,POS 7331 WONDERLA KOLKATA,1520.78,entertainment,WONDERLA
2024-05-10,UPI/PLAYSTATION STORE/178192,1770.25,entertainment,PLAYSTATION STORE
2024-03-02,UPI/DR/295616225647/GST ON CHARGES/YESB/gst@oksbi,74.04,other,GST ON CHARGES
2024-02-09,UPI-FUND TRANSFER-fund@okhdfcbank-044500202683,11998.21,other,FUND TRANSFER
2024-04-23,HALDIRAMS*7829114,899.51,food,HALDIRAMS
2024-03-06,UPI/LOLLAPALOOZA TICKETS/218856/PUNB,3650.33,entertainment,LOLLAPALOOZA TICKETS
2024-03-20,UPI/REDBUS/866032,1708.35,travel,REDBUS
2024-01-07,UPI-MIVA INVESTMENTS-miva@ybl-170921764517,12866.34,other,MIVA
2024-04-18,IMPS/330677306718/SOCIETY MAINTENANCE/ICIC,1143.61,rent,SOCIETY MAINTENANCE
2024-02-29,PG*MAKEMYTRIP*88774924,8630.1,travel,MAKEMYTRIP
2024-06-04,BBPS/AIRTEL POSTPAID/6264222975,428.98,bills,AIRTEL POSTPAID
2024-01-12,VIBRIVA STREAMING*1085184,1387.04,entertainment,VIBRIVA
2024-01-08,NEFT/FLAT RENT/YESB,11704.09,rent,FLAT RENT
2024-04-05,NACH/NOVISO WATER BILL/43229876,493.94,bills,NOVISO
2024-06-26,UPI/PG ACCOMMODATION FEE/178167,9470.66,rent,PG ACCOMMODATION FEE
2024-01-24,UPI/VIKRAM KUMAR/SENT/987245,4736.02,other,P2P
2024-05-13,POS/DR LAL PATHLABS KOLKATA,1683.64,health,DR LAL PATHLABS
2024-02-17,UPI/DR/394319165430/TATA POWER/KKBK/tata@okhdfcbank,5940.17,bills,TATA POWER
2024-05-24,MANIPAL HOSPITAL PUNE IN,9763.25,health,MANIPAL HOSPITAL
2024-02-07,ACH DEBIT LUNE MAINTENANCE AUG,14769.07,rent,LUNE
2024-02-09,UPI/HAVA CASH WITHDRAWAL/470189/BARB,2503.23,other,HAVA
2024-02-02,UPI/RAHUL REDDY/846912,2234.62,other,P2P
2024-01-25,UPI/BANK CHARGES/685642,91.09,other,BANK CHARGES
2024-04-27,UPI-SWIGGY-swiggy@axl-327648350305,214.72,food,SWIGGY
2024-06-13,POS KAPE HEALTH,4189.06,health,KAPE
2024-02-19,UPI/PIZZA HUT/122753/HDFC,1325.92,food,PIZZA HUT
2024-02-20,POS PETO AIRLINES,122.15,travel,PETO
2024-01-21,HP PETROL BUNK ONLINE 74224386,2355.14,travel,HP PETROL BUNK
2024-03-25,UPI/IRCTC/940792/HDFC,2746.06,travel,IRCTC
2024-06-28,UPI/P2A/514244966390/DEEPAK PILLAI/HDFC,7660.19,other,P2P
2024-01-23,UPI/DR/780782357845/OLA CABS/ICIC/ola@ybl,292.84,travel,OLA CABS
2024-05-19,UPI/NEHA DESAI/GIFT/527295,1869.66,other,P2P
2024-01-24,UPI/RAHUL IYER/PAYMENT/985919,2216.91,other,P2P
2024-06-19,POS 9903 PRAKA KITCHEN MUMBAI,256.79,food,PRAKA
2024-05-05,UPI/UDUPI GRAND/144270/SBIN,245.83,food,UDUPI GRAND
2024-03-08,UPI/ASTER CLINIC/409661/BARB,3096.04,health,ASTER CLINIC
2024-05-10,UPI/DR/361386120750/FAASOS/YESB/faasos@ybl,150.8,food,FAASOS
2024-02-09,UPI/SMS ALERT CHARGES/670151,42.11,other,SMS ALERT CHARGES
2024-03-21,UPI-AMAZON PRIME-amazon@oksbi-874113257970,904.29,entertainment,AMAZON PRIME
2024-03-23,UPI-NATURES BASKET-natures@ibl-053457861035,1803.86,food,NATURES BASKET
2024-02-20,UPI-ATM CASH WITHDRAWAL-atm@oksbi-406453157905,1183.12,other,ATM CASH WITHDRAWAL
2024-06-18,PG*VODAFONE IDEA*09060530,752.74,bills,VODAFONE IDEA
2024-04-12,ACH DEBIT HP GAS CYLINDER JUN,966.01,bills,HP GAS CYLINDER
2024-06-25,PG*INDIGO AIRLINES*01585174,2908.55,travel,INDIGO AIRLINES
2024-02-25,POS LOLLAPALOOZA TICKETS,3286.7,entertainment,LOLLAPALOOZA TICKETS
2024-02-13,UPI/DR/930557797983/MIHAPRA CASH WITHDRAWAL/PUNB/mihapra@ibl,53.44,other,MIHAPRA
2024-05-03,UPI/DR/969215100260/SHATEK LEASE/BARB/shatek@ibl,30009.77,rent,SHATEK
2024-01-15,SMAAASH GAMING*8662813,416.12,entertainment,SMAAASH GAMING
2024-03-28,UPI/MCDONALDS/719022/UTIB,183.46,food,MCDONALDS
2024-01-29,UPI/STEAM GAMES/133943,2388.07,entertainment,STEAM GAMES
2024-05-31,UPI-HAPRATO TRANSFER-haprato@ybl-250231600402,1167.27,other,HAPRATO
2024-05-26,UPI/DR/803476447264/LOCAL KIRANA STORE/HDFC/local@axl,224.52,food,LOCAL KIRANA STORE
2024-02-01,POS LIFESTYLE STORES,4858.33,shopping,LIFESTYLE STORES
2024-06-09,UPI/KALU INSURANCE/990152/SBIN,4434.27,bills,KALU
2024-04-15,UPI-MIRAVI DIAGNOSTICS-miravi@axl-347450240537,609.38,health,MIRAVI
2024-02-19,HADA GIFTS ONLINE 49812130,5053.19,shopping,HADA
2024-01-29,ECS WATER BOARD BILL 162654,959.58,bills,WATER BOARD BILL
2024-04-30,IMPS/321499970320/GANHAMI PG RENT/UTIB,4270.31,rent,GANHAMI
2024-02-09,UPI/DR/041084791351/ANNUAL CARD FEE/YESB/annual@okhdfcbank,291.24,other,ANNUAL CARD FEE
2024-05-18,UPI/JOVA KITCHEN/936315,731.23,food,JOVA
2024-06-12,THYROCARE BENGALURU IN,717.59,health,THYROCARE
2024-04-06,ACH DEBIT BSNL MAY,503.81,bills,BSNL
2024-06-05,NEFT/TOZIJO PG RENT/ICIC,21502.41,rent,TOZIJO
2024-03-27,NEFT-46933356230-APARTMENT ASSOCIATION-SBIN,1557.45,rent,APARTMENT ASSOCIATION
2024-06-17,PG*CAFE COFFEE DAY*62914865,164.62,food,CAFE COFFEE DAY
2024-05-21,UPI/NEHA SINGH/PAYMENT/045840,3470.07,other,P2P
2024-01-19,IMPS/031637050049/HOUSE RENT/SBIN,11526.54,rent,HOUSE RENT
2024-01-16,UPI/LUNE HOSTEL/394398,13916.61,rent,LUNE
2024-02-10,ACH D- HDFC LIFE-68112303,25133.09,bills,HDFC LIFE
2024-05-26,NACH/HOTSTAR/57702992,768.73,entertainment,HOTSTAR
2024-06-20,UPI/TEKGANTEK MOVIES/568317,2341.32,entertainment,TEKGANTEK
2024-02-01,UPI/TIMEZONE ARCADE/001418,1685.05,entertainment,TIMEZONE ARCADE
2024-01-10,BARBEQUE NATION INTERNET 287431,1829.86,food,BARBEQUE NATION
2024-03-07,UPI/NITIN GUPTA/255876,3676.54,other,P2P
2024-06-29,UPI/HOTEL SAGAR RESTAURANT/184895,573.26,food,HOTEL SAGAR RESTAURANT
2024-04-22,POS ZEE5,453.89,entertainment,ZEE5
2024-05-27,DECATHLON SPORTS INTERNET 512765,6205.77,shopping,DECATHLON SPORTS
2024-06-21,POS 5780 KFC KOLKATA,268.89,food,KFC
2024-06-09,ACH DEBIT GANTO ELECTRICITY MAR,252.16,bills,GANTO
2024-04-18,UPI/NITIN MENON/762295,140.13,other,P2P
2024-02-11,MCDONALDS INTERNET 058651,416.34,food,MCDONALDS
2024-02-03,POS/MORE SUPERMARKET GURGAON,1291.95,food,MORE SUPERMARKET
2024-03-10,PG*IKEA*51720849,1089.19,shopping,IKEA
2024-01-31,UPI/DR/412272765314/PEPRA TELECOM/KKBK/pepra@ybl,1675.41,bills,PEPRA
2024-05-12,POS 0388 NAMMA METRO DELHI,276.08,travel,NAMMA METRO
2024-05-05,NACH/HOTSTAR/31942268,1089.71,entertainment,HOTSTAR
2024-06-18,POS/PANTALOONS PUNE,3419.93,shopping,PANTALOONS
2024-06-26,UPI-PRAVI CINEMAS-pravi@ibl-702772871565,1334.62,entertainment,PRAVI
2024-01-13,ACH DEBIT BESCOM ELECTRICITY SEP,3035.91,bills,BESCOM ELECTRICITY
2024-05-01,BILLPAY/PROPERTY TAX/62590841,11818.92,bills,PROPERTY TAX
2024-01-19,PG*ZINETEK BROADBAND*35393305,556.14,bills,ZINETEK
2024-03-28,POS/VADASHA BIRYANI BENGALURU,2388.25,food,VADASHA
2024-04-10,POS/SONYLIV HYDERABAD,882.69,entertainment,SONYLIV
2024-05-24,ECS VINETO BROADBAND 205135,995.96,bills,VINETO
2024-04-03,UPI/P2A/997475473770/KARTHIK PILLAI/UTIB,5883.17,other,P2P
2024-03-12,UPI-FUND TRANSFER-fund@oksbi-173690789476,2468.96,other,FUND TRANSFER
2024-03-18,VADASHA KITCHEN BENGALURU IN,124.37,food,VADASHA
2024-04-19,MYNTRA KOLKATA IN,1219.77,shopping,MYNTRA
2024-03-10,POS 8935 NOLU HEALTH GURGAON,7330.85,health,NOLU
2024-05-31,SUBWAY DELHI IN,604.09,food,SUBWAY
2024-01-09,DR LAL PATHLABS KOLKATA IN,861.62,health,DR LAL PATHLABS
2024-06-12,UPI/DAZIGAN DAIRY/422848,2227.07,food,DAZIGAN
2024-05-16,UPI/DR/043766136628/MUTUAL FUND SIP/HDFC/mutual@oksbi,21618.86,other,MUTUAL FUND SIP
2024-06-17,POS 5105 IKEA DELHI,12070.43,shopping,IKEA
2024-02-20,UPI/DR/968436453804/INOX MOVIES/UTIB/inox@okhdfcbank,1347.18,entertainment,INOX MOVIES
2024-05-17,POS/VIJAY SALES MUMBAI,2072.59,shopping,VIJAY SALES
2024-04-10,UPI/CHEQUE BOOK CHARGES/074290,125.48,other,CHEQUE BOOK CHARGES
2024-02-06,UPI/BURGER KING/821759/UTIB,417.04,food,BURGER KING
2024-06-19,UPI/SONYLIV/789969,721.2,entertainment,SONYLIV
2024-03-23,UPI/NFS CASH WDL/578645,1476.44,other,NFS CASH WDL
2024-01-11,BHARAT PETROLEUM DELHI IN,2227.17,travel,BHARAT PETROLEUM
2024-03-08,UPI/HAVI FASHION/828051,967.26,shopping,HAVI
2024-02-26,UPI/NIKE STORE/094318,5653.34,shopping,NIKE STORE
2024-04-19,UPI/DR/669121535396/GOIBIBO/YESB/goibibo@okhdfcbank,1418.56,travel,GOIBIBO
2024-06-26,UPI/NAMMA METRO/207049,403.29,travel,NAMMA METRO
2024-02-24,CLOVE DENTAL INTERNET 304588,4240.22,health,CLOVE DENTAL
2024-03-06,UPI-HP PETROL BUNK-hp@oksbi-616592661085,2105.05,travel,HP PETROL BUNK
2024-06-10,POS 4685 PENONE WELLNESS GURGAON,467.77,health,PENONE
2024-03-21,UPI/DR/826034084872/AMAZON PAY INDIA/BARB/amazon@axl,7073.94,shopping,AMAZON PAY INDIA
2024-04-03,UPI/BOOKMYSHOW/736050,379.44,entertainment,BOOKMYSHOW
2024-01-25,POS 2068 BMTC BUS PASS DELHI,921.75,travel,BMTC BUS PASS
2024-04-13,PG*DELHI METRO SMART CARD*37389877,235.03,travel,DELHI METRO SMART CARD
2024-06-16,AJIO ONLINE 37118954,662.32,shopping,AJIO
2024-06-22,UPI-DMART-dmart@axl-721510702966,613.88,food,DMART
2024-03-16,POS DELHI METRO SMART CARD,173.67,travel,DELHI METRO SMART CARD
2024-06-23,PG*TOSHASHA MOBILES*49724903,8805.19,shopping,TOSHASHA
2024-06-01,UPI/CHEQUE BOOK CHARGES/337953,49.64,other,CHEQUE BOOK CHARGES
2024-06-12,NEFT-08779724792-NOBROKER RENT PAY-KKBK,33352.0,rent,NOBROKER RENT PAY
2024-06-17,UPI/MEDPLUS/604615,1669.83,health,MEDPLUS
2024-01-19,POS 4054 RELIANCE FRESH BENGALURU,335.84,food,RELIANCE FRESH
2024-01-06,BBPS/HDFC LIFE/9921779055,15301.42,bills,HDFC LIFE
2024-01-03,POS/NIKE STORE DELHI,3039.65,shopping,NIKE STORE
2024-06-17,UPI/SPOTIFY INDIA/177345/UTIB,122.06,entertainment,SPOTIFY INDIA
2024-05-10,PG*HDFC LIFE*66605342,6861.12,bills,HDFC LIFE
2024-06-14,POS/NETMEDS CHENNAI,2470.49,health,NETMEDS
2024-05-31,VIJAY SALES*5481386,30367.06,shopping,VIJAY SALES
2024-01-17,UPI/DR/453454722398/WONDERLA/SBIN/wonderla@ybl,1632.63,entertainment,WONDERLA
